state,ageRangePopulationEstimate,hAvg
AL,244975,5.57
AK,28472,5.58
AZ,349636,5.52
AR,144878,5.55
CA,1778480,5.52
CO,260980,5.59
CT,167860,5.52
DE,45691,5.56
FL,933191,5.51
GA,519634,5.55
HI,52506,5.50
ID,99321,5.57
IL,568960,5.56
IN,321251,5.55
IA,154418,5.57
KS,141646,5.57
KY,204826,5.55
LA,205806,5.55
ME,52355,5.55
MD,261887,5.56
MA,358495,5.53
MI,456842,5.55
MN,255114,5.57
MS,138506,5.55
MO,280596,5.55
MT,48074,5.57
NE,96117,5.57
NV,127044,5.52
NH,6032,5.53
NJ,389329,5.52
NM,96929,5.50
NY,888065,5.52
NC,514004,5.55
ND,39269,5.57
OH,522090,5.55
OK,194737,5.55
OR,176493,5.57
PA,585727,5.55
RI,56143,5.52
SC,243626,5.55
SD,38921,5.57
TN,318237,5.55
TX,1481323,5.52
UT,203577,5.59
VT,30817,5.55
VA,397302,5.55
WA,322483,5.57
WV,73865,5.55
WI,271309,5.57
WY,23797,5.57
