state,ageRangePopulationEstimate,hAvg,hRate,count,percent
AL,244975,5.57,0.03500000000000014,943.1537500000038,0.38500000000000156
AK,28472,5.58,0.040000000000000036,125.27680000000011,0.4400000000000004
AZ,349636,5.52,0.009999999999999787,384.5995999999918,0.10999999999999767
AR,144878,5.55,0.02499999999999991,398.41449999999855,0.27499999999999897
CA,1778480,5.52,0.009999999999999787,1956.3279999999584,0.10999999999999767
CO,260980,5.59,0.04499999999999993,1291.850999999998,0.4949999999999993
CT,167860,5.52,0.009999999999999787,184.64599999999606,0.10999999999999767
DE,45691,5.56,0.029999999999999805,150.78029999999902,0.32999999999999785
FL,933191,5.51,0.004999999999999893,513.2550499999891,0.054999999999998835
GA,519634,5.55,0.02499999999999991,1428.9934999999948,0.27499999999999897
HI,52506,5.5,0.0,0.0,0.0
ID,99321,5.57,0.03500000000000014,382.38585000000154,0.3850000000000015
IL,568960,5.56,0.029999999999999805,1877.567999999988,0.32999999999999785
IN,321251,5.55,0.02499999999999991,883.4402499999968,0.27499999999999897
IA,154418,5.57,0.03500000000000014,594.5093000000024,0.38500000000000156
KS,141646,5.57,0.03500000000000014,545.3371000000021,0.3850000000000015
KY,204826,5.55,0.02499999999999991,563.271499999998,0.274999999999999
LA,205806,5.55,0.02499999999999991,565.966499999998,0.27499999999999897
ME,52355,5.55,0.02499999999999991,143.9762499999995,0.2749999999999991
MD,261887,5.56,0.029999999999999805,864.2270999999944,0.32999999999999785
MA,358495,5.53,0.015000000000000124,591.5167500000049,0.16500000000000137
MI,456842,5.55,0.02499999999999991,1256.3154999999956,0.274999999999999
MN,255114,5.57,0.03500000000000014,982.188900000004,0.38500000000000156
MS,138506,5.55,0.02499999999999991,380.89149999999864,0.274999999999999
MO,280596,5.55,0.02499999999999991,771.6389999999973,0.274999999999999
MT,48074,5.57,0.03500000000000014,185.08490000000074,0.3850000000000015
NE,96117,5.57,0.03500000000000014,370.0504500000015,0.3850000000000015
NV,127044,5.52,0.009999999999999787,139.74839999999702,0.10999999999999767
NH,6032,5.53,0.015000000000000124,9.952800000000083,0.1650000000000014
NJ,389329,5.52,0.009999999999999787,428.2618999999909,0.10999999999999767
NM,96929,5.5,0.0,0.0,0.0
NY,888065,5.52,0.009999999999999787,976.8714999999792,0.10999999999999764
NC,514004,5.55,0.02499999999999991,1413.510999999995,0.274999999999999
ND,39269,5.57,0.03500000000000014,151.18565000000063,0.3850000000000016
OH,522090,5.55,0.02499999999999991,1435.747499999995,0.274999999999999
OK,194737,5.55,0.02499999999999991,535.5267499999982,0.2749999999999991
OR,176493,5.57,0.03500000000000014,679.4980500000028,0.38500000000000156
PA,585727,5.55,0.02499999999999991,1610.7492499999944,0.274999999999999
RI,56143,5.52,0.009999999999999787,61.75729999999868,0.10999999999999764
SC,243626,5.55,0.02499999999999991,669.9714999999977,0.2749999999999991
SD,38921,5.57,0.03500000000000014,149.8458500000006,0.38500000000000156
TN,318237,5.55,0.02499999999999991,875.1517499999969,0.274999999999999
TX,1481323,5.52,0.009999999999999787,1629.4552999999653,0.10999999999999767
UT,203577,5.59,0.04499999999999993,1007.7061499999984,0.49499999999999916
VT,30817,5.55,0.02499999999999991,84.7467499999997,0.27499999999999897
VA,397302,5.55,0.02499999999999991,1092.5804999999962,0.274999999999999
WA,322483,5.57,0.03500000000000014,1241.5595500000052,0.3850000000000016
WV,73865,5.55,0.02499999999999991,203.1287499999993,0.274999999999999
WI,271309,5.57,0.03500000000000014,1044.5396500000043,0.38500000000000156
WY,23797,5.57,0.03500000000000014,91.61845000000038,0.38500000000000156
